id	subject	predicate	object	relation	knowledge_source
urn:uuid:367e98f8-e87a-4e59-9972-e9f909333431	203	biolink:related_to	288	biolink:related_to	bolt://localhost:7687
urn:uuid:583d8bbd-d8e1-49d6-a753-6c3cad371418	288	biolink:related_to	226	biolink:related_to	bolt://localhost:7687
urn:uuid:a68437d5-5e18-4d85-9898-fff02ed7a995	205	biolink:related_to	206	biolink:related_to	bolt://localhost:7687
urn:uuid:b0012284-c1f1-4c62-8363-dc4e34d5ed36	206	biolink:related_to	215	biolink:related_to	bolt://localhost:7687
urn:uuid:0798162a-7182-4f9f-9d90-5c14bf88c05a	207	biolink:related_to	209	biolink:related_to	bolt://localhost:7687
urn:uuid:46558098-da13-4314-81a3-b280d7882819	209	biolink:related_to	299	biolink:related_to	bolt://localhost:7687
urn:uuid:8bfc8ce6-c347-4029-9f05-b982877db6e6	208	biolink:related_to	264	biolink:related_to	bolt://localhost:7687
urn:uuid:7d6e8603-d6f8-4fac-9dd3-8c9da012242f	264	biolink:related_to	226	biolink:related_to	bolt://localhost:7687
urn:uuid:0d20b354-0115-4e5c-bc4f-485b36e61f28	264	biolink:related_to	257	biolink:related_to	bolt://localhost:7687
urn:uuid:b662135b-86a0-4594-9e9a-37f7cba19745	299	biolink:related_to	301	biolink:related_to	bolt://localhost:7687
urn:uuid:75dece1d-76c0-41b6-9602-2068b5949257	210	biolink:related_to	208	biolink:related_to	bolt://localhost:7687
urn:uuid:74d79670-c08c-49cc-b6e2-db7879f922aa	211	biolink:related_to	204	biolink:related_to	bolt://localhost:7687
urn:uuid:87b0549e-12a9-44d3-81b9-ad3a9c807c12	211	biolink:related_to	212	biolink:related_to	bolt://localhost:7687
urn:uuid:04fcae33-e798-4a0f-95da-7cff5478e893	212	biolink:related_to	226	biolink:related_to	bolt://localhost:7687
urn:uuid:a378fd1d-2fed-40d2-869f-cde68bc69983	226	biolink:related_to	202	biolink:related_to	bolt://localhost:7687
urn:uuid:50b62dfa-b0c5-4292-a4b2-be41960f2a12	213	biolink:related_to	214	biolink:related_to	bolt://localhost:7687
urn:uuid:046b8f13-6326-4473-8087-6557546bea86	214	biolink:related_to	202	biolink:related_to	bolt://localhost:7687
urn:uuid:2a139c03-d94c-46ae-bb05-cef735ddc35c	216	biolink:related_to	208	biolink:related_to	bolt://localhost:7687
urn:uuid:24018661-2bc2-4e0f-b353-464a71b2e9a8	217	biolink:related_to	218	biolink:related_to	bolt://localhost:7687
urn:uuid:2fb0a300-19b5-44b9-8881-c9d48299abed	217	biolink:related_to	219	biolink:related_to	bolt://localhost:7687
urn:uuid:84cde1b4-b413-4a73-a90c-df88d06a7cce	218	biolink:related_to	202	biolink:related_to	bolt://localhost:7687
urn:uuid:240e979b-facf-43de-bf9f-5215f85c2e9a	219	biolink:related_to	226	biolink:related_to	bolt://localhost:7687
urn:uuid:ddd30974-da8c-4c9a-b407-090a8733aee2	219	biolink:related_to	257	biolink:related_to	bolt://localhost:7687
urn:uuid:ab32b943-3b9d-462e-8c98-54c1e5a414d7	257	biolink:related_to	202	biolink:related_to	bolt://localhost:7687
urn:uuid:272af647-9d9b-464f-9d69-758ffc563fc5	220	biolink:related_to	221	biolink:related_to	bolt://localhost:7687
urn:uuid:8c564b3b-ac00-41c4-9af3-9f399f5651e2	221	biolink:related_to	218	biolink:related_to	bolt://localhost:7687
urn:uuid:045f982d-4b8c-4f3e-8cca-f01bf5ce64ac	222	biolink:related_to	217	biolink:related_to	bolt://localhost:7687
urn:uuid:ef1bd4e0-3988-4ac5-b7a2-02e6d4c96113	222	biolink:related_to	220	biolink:related_to	bolt://localhost:7687
urn:uuid:944c7969-4b39-4349-9a1a-e06bd6cecbab	223	biolink:related_to	220	biolink:related_to	bolt://localhost:7687
urn:uuid:fcbbb55d-f4b0-43d4-9821-0bf776d86fc0	224	biolink:related_to	220	biolink:related_to	bolt://localhost:7687
urn:uuid:0647279e-db64-4e5f-b8ca-6033eb4c2e1a	225	biolink:related_to	220	biolink:related_to	bolt://localhost:7687
urn:uuid:eda2f34d-ec9a-4a7c-bf19-6c8cfcf0812b	225	biolink:related_to	226	biolink:related_to	bolt://localhost:7687
urn:uuid:7302e90e-9ee5-450a-b685-7237ef60cfc9	225	biolink:related_to	227	biolink:related_to	bolt://localhost:7687
urn:uuid:924577c1-7297-4d14-81b1-f80ab5e13c61	227	biolink:related_to	202	biolink:related_to	bolt://localhost:7687
urn:uuid:fdf2fab0-e7d3-45ab-9dfc-2a44d6ec6867	228	biolink:related_to	223	biolink:related_to	bolt://localhost:7687
urn:uuid:7e50fce7-a998-4098-912f-a2c3577ec597	228	biolink:related_to	226	biolink:related_to	bolt://localhost:7687
urn:uuid:e1895abb-29f0-42a6-a182-97cabb1a1036	228	biolink:related_to	227	biolink:related_to	bolt://localhost:7687
